id,name,category,brand,price,discount_percent,sale_price,stock,compatible_models,status,notes
14,6-Finger Claw Gaming Case,Gaming,,1499,20,1199,34,,published,
17,Universal Gaming Joystick,Gaming,,799,5,759,45,,published,
21,Google Pixel 30w Orginal Adapter,Cables,,1500,0,1500,29,,published,
9,PUBG Mobile Trigger Controller (Pair),Gaming,,1200,0,1200,1,,published,
10,Pro Gaming Thumb Grips (6 Pack),Gaming,,499,0,499,80,,published,
13,Low Latency Gaming Earbuds,Gaming,,2800,0,2800,0,,published,
1,Premium Silicone Case,Cases,,899,0,899,45,,published,
3,65W Fast Charger,Chargers,,2499,0,2499,30,,published,
4,Wireless Earbuds Pro,Audio,,3499,0,3499,22,,published,
23,Luxury MagSafe Matte Case for iPhone 15 Pro Max,Cases,iphone,650,0,650,20,iPhone 15 Pro Max,published,
22,Premium Leather Luxury AirPods Case,Cases,,1000,0,1000,10,,published,
19,TRIGGERS,Gaming,,2500,0,2500,10,,published,
12,Gaming Finger Sleeves (4 Pack),Gaming,,399,0,399,100,,published,
15,Mobile Gaming Headset with Mic,Gaming,,2499,0,2499,20,,published,
5,MagSafe Power Bank 10000mAh,Power Banks,,3999,0,3999,18,,published,
8,Leather Flip Cover,Cases,,1599,0,1599,25,,published,
7,Car Phone Mount,Accessories,,1299,0,1299,35,,published,
6,USB-C Braided Cable 2m,Cables,,699,0,699,20,,published,
